dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.959874,0.869264,2.083596,2.156639,-0.124530,1.229612,0.702221
0.020000,1.992449,0.897475,2.126689,2.154660,-0.098922,1.280422,0.725240
0.020000,2.024344,0.926410,2.169754,2.153221,-0.071969,1.347636,0.748355
0.020000,2.055548,0.956064,2.212800,2.152325,-0.044772,1.359848,0.771530
0.020000,2.086050,0.986429,2.255840,2.151991,-0.016723,1.402469,0.794728
0.020000,2.115844,1.017496,2.298884,2.152216,0.011274,1.399872,0.817910
0.020000,2.144920,1.049256,2.341944,2.153002,0.039269,1.399730,0.841040
0.020000,2.173274,1.081699,2.385031,2.154335,0.066679,1.370503,0.864081
0.020000,2.200898,1.114814,2.428155,2.156214,0.093933,1.362699,0.886997
0.020000,2.227788,1.148589,2.471327,2.158598,0.119196,1.263171,0.909753
0.020000,2.253942,1.183010,2.514557,2.161497,0.144956,1.287956,0.932318
0.020000,2.279355,1.218064,2.557854,2.164841,0.167181,1.111263,0.954658
0.020000,2.304026,1.253737,2.601227,2.168646,0.190282,1.155038,0.976745
0.020000,2.327955,1.290012,2.644684,2.172839,0.209638,0.967823,0.998553
0.020000,2.351141,1.326875,2.688232,2.177405,0.228289,0.932548,1.020056
0.020000,2.373585,1.364308,2.731878,2.182310,0.245274,0.849272,1.041233
0.020000,2.395290,1.402294,2.775628,2.187507,0.259808,0.726681,1.062064
0.020000,2.416258,1.440816,2.819487,2.192944,0.271868,0.602975,1.082531
0.020000,2.436493,1.479856,2.863459,2.198610,0.283329,0.573058,1.102621
0.020000,2.455998,1.519396,2.907548,2.204461,0.292512,0.459177,1.122321
0.020000,2.474780,1.559417,2.951758,2.210458,0.299884,0.368597,1.141622
0.020000,2.492844,1.599901,2.996089,2.216556,0.304875,0.249524,1.160516
0.020000,2.510134,1.640678,3.040380,2.214556,-0.099992,-20.243334,1.178930
0.020000,2.526541,1.681408,3.084290,2.195506,-0.952528,-42.626790,1.196729
0.020000,2.542028,1.721880,3.127624,2.166691,-1.440708,-24.409009,1.213851
0.020000,2.556630,1.762047,3.170363,2.136970,-1.486085,-2.268854,1.230310
0.020000,2.570386,1.801878,3.212502,2.106944,-1.501262,-0.758823,1.246126
0.020000,2.583334,1.841340,3.254034,2.076587,-1.517851,-0.829497,1.261319
0.020000,2.595510,1.880405,3.294953,2.045949,-1.531921,-0.703488,1.275911
0.020000,2.606951,1.919046,3.335252,2.014951,-1.549922,-0.900060,1.289923
0.020000,2.617690,1.957238,3.374925,1.983667,-1.564154,-0.711569,1.303375
0.020000,2.627762,1.994957,3.413966,1.952042,-1.581262,-0.855416,1.316289
0.020000,2.637200,2.032183,3.452369,1.920172,-1.593529,-0.613359,1.328685
0.020000,2.646033,2.068894,3.490128,1.887936,-1.611792,-0.913149,1.340583
0.020000,2.654294,2.105072,3.527237,1.855447,-1.624463,-0.633558,1.352001
0.020000,2.662010,2.140699,3.563690,1.822657,-1.639457,-0.749657,1.362960
0.020000,2.669211,2.175759,3.599482,1.789597,-1.653000,-0.677193,1.373477
0.020000,2.675922,2.210238,3.634608,1.756298,-1.664964,-0.598198,1.383570
0.020000,2.682171,2.244121,3.669063,1.722736,-1.678097,-0.656654,1.393254
0.020000,2.687981,2.277396,3.702841,1.688914,-1.691103,-0.650295,1.402548
0.020000,2.693378,2.310050,3.735939,1.654869,-1.702268,-0.558247,1.411465
0.020000,2.698383,2.342074,3.768351,1.620637,-1.711574,-0.465304,1.420020
0.020000,2.703019,2.373456,3.800074,1.586131,-1.725307,-0.686645,1.428228
0.020000,2.707306,2.404188,3.831104,1.551481,-1.732495,-0.359382,1.436102
0.020000,2.711265,2.434261,3.861436,1.516616,-1.743241,-0.537294,1.443655
0.020000,2.714916,2.463667,3.891067,1.481570,-1.752326,-0.454235,1.450898
0.020000,2.718276,2.492399,3.919995,1.446375,-1.759760,-0.371712,1.457844
0.020000,2.721363,2.520448,3.948214,1.410960,-1.770737,-0.548840,1.464503
0.020000,2.724194,2.547812,3.975723,1.375460,-1.775017,-0.214024,1.470885
0.020000,2.726785,2.574481,4.002518,1.339769,-1.784527,-0.475493,1.477001
0.020000,2.729151,2.600453,4.028597,1.303935,-1.791681,-0.357723,1.482860
0.020000,2.731307,2.625720,4.053956,1.267961,-1.798742,-0.353051,1.488470
0.020000,2.733267,2.650280,4.078594,1.231891,-1.803489,-0.237310,1.493840
0.020000,2.735044,2.674128,4.102509,1.195719,-1.808583,-0.254708,1.498977
0.020000,2.736651,2.697260,4.125696,1.159381,-1.816908,-0.416263,1.503890
0.020000,2.738100,2.719672,4.148155,1.122962,-1.820957,-0.202428,1.508586
0.020000,2.739402,2.741362,4.169885,1.086453,-1.825446,-0.224484,1.513070
0.020000,2.740569,2.762327,4.190882,1.049849,-1.830214,-0.238407,1.517350
0.020000,2.741610,2.782563,4.211145,1.013152,-1.834852,-0.231892,1.521431
0.020000,2.742535,2.802068,4.230671,0.976328,-1.841201,-0.317425,1.525319
0.020000,2.743355,2.820840,4.249461,0.939505,-1.841131,0.003479,1.529019
0.020000,2.744077,2.838876,4.267512,0.902544,-1.848055,-0.346186,1.532537
