dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.191444,0.672973,2.350000,2.500000,0.000000,0.000000,0.725240
0.020000,2.228474,0.706568,2.400000,2.500000,0.000000,0.000000,0.748355
0.020000,2.264717,0.741011,2.450000,2.500000,0.000000,0.000000,0.771530
0.020000,2.300152,0.776285,2.500000,2.500000,0.000000,0.000000,0.794728
0.020000,2.334759,0.812371,2.550000,2.500000,0.000000,0.000000,0.817910
0.020000,2.368521,0.849249,2.600000,2.500000,0.000000,0.000000,0.841040
0.020000,2.401423,0.886897,2.650000,2.500000,0.000000,0.000000,0.864081
0.020000,2.433451,0.925291,2.700000,2.500000,0.000000,0.000000,0.886997
0.020000,2.464594,0.964407,2.750000,2.500000,0.000000,0.000000,0.909753
0.020000,2.494843,1.004218,2.800000,2.500000,0.000000,0.000000,0.932318
0.020000,2.524189,1.044698,2.850000,2.500000,0.000000,0.000000,0.954658
0.020000,2.552630,1.085820,2.900000,2.500000,0.000000,0.000000,0.976745
0.020000,2.580161,1.127557,2.950000,2.500000,0.000000,0.000000,0.998553
0.020000,2.606782,1.169879,3.000000,2.500000,0.000000,0.000000,1.020056
0.020000,2.632493,1.212761,3.050000,2.500000,0.000000,0.000000,1.041233
0.020000,2.657299,1.256173,3.100000,2.500000,0.000000,0.000000,1.062064
0.020000,2.681202,1.300088,3.150000,2.500000,0.000000,0.000000,1.082531
0.020000,2.704211,1.344479,3.200000,2.500000,0.000000,0.000000,1.102621
0.020000,2.726331,1.389318,3.250000,2.500000,0.000000,0.000000,1.122321
0.020000,2.747573,1.434581,3.300000,2.500000,0.000000,0.000000,1.141622
0.020000,2.767947,1.480241,3.350000,2.500000,0.000000,0.000000,1.160516
0.020000,2.787393,1.526104,3.399816,2.481622,-0.918898,-45.944893,1.178930
0.020000,2.805795,1.571787,3.449066,2.443403,-1.910961,-49.603175,1.196729
0.020000,2.823118,1.617056,3.497538,2.403720,-1.984127,-3.658282,1.213851
0.020000,2.839407,1.661864,3.545215,2.364038,-1.984127,0.000000,1.230310
0.020000,2.854713,1.706179,3.592099,2.324355,-1.984127,0.000000,1.246126
0.020000,2.869082,1.749971,3.638189,2.284673,-1.984127,0.000000,1.261319
0.020000,2.882561,1.793216,3.683486,2.244990,-1.984127,-0.000000,1.275911
0.020000,2.895195,1.835887,3.727989,2.205308,-1.984127,0.000000,1.289923
0.020000,2.907027,1.877964,3.771698,2.165625,-1.984127,-0.000000,1.303375
0.020000,2.918099,1.919427,3.814614,2.125942,-1.984127,0.000000,1.316289
0.020000,2.928450,1.960257,3.856736,2.086260,-1.984127,0.000000,1.328685
0.020000,2.938119,2.000438,3.898064,2.046577,-1.984127,0.000000,1.340583
0.020000,2.947142,2.039956,3.938599,2.006895,-1.984127,-0.000000,1.352001
0.020000,2.955554,2.078796,3.978340,1.967212,-1.984127,0.000000,1.362960
0.020000,2.963389,2.116947,4.017288,1.927530,-1.984127,-0.000000,1.373477
0.020000,2.970679,2.154397,4.055441,1.887847,-1.984127,0.000000,1.383570
0.020000,2.977455,2.191138,4.092802,1.848165,-1.984127,-0.000000,1.393254
0.020000,2.983745,2.227159,4.129368,1.808482,-1.984127,0.000000,1.402548
0.020000,2.989578,2.262453,4.165141,1.768800,-1.984127,-0.000000,1.411465
0.020000,2.994979,2.297013,4.200120,1.729117,-1.984127,0.000000,1.420020
0.020000,2.999975,2.330831,4.234306,1.689435,-1.984127,-0.000000,1.428228
0.020000,3.004589,2.363902,4.267697,1.649752,-1.984127,0.000000,1.436102
0.020000,3.008844,2.396221,4.300296,1.610069,-1.984127,-0.000000,1.443655
0.020000,3.012762,2.427784,4.332100,1.570387,-1.984127,0.000000,1.450898
0.020000,3.016364,2.458585,4.363111,1.530704,-1.984127,-0.000000,1.457844
0.020000,3.019670,2.488620,4.393328,1.491022,-1.984127,0.000000,1.464503
0.020000,3.022698,2.517888,4.422752,1.451339,-1.984127,-0.000000,1.470885
0.020000,3.025466,2.546384,4.451382,1.411657,-1.984127,0.000000,1.477001
0.020000,3.027992,2.574106,4.479218,1.371974,-1.984127,-0.000000,1.482860
0.020000,3.030291,2.601050,4.506261,1.332292,-1.984127,0.000000,1.488470
0.020000,3.032379,2.627215,4.532510,1.292609,-1.984127,-0.000000,1.493840
0.020000,3.034271,2.652601,4.557965,1.252927,-1.984127,0.000000,1.498977
0.020000,3.035980,2.677203,4.582627,1.213244,-1.984127,-0.000000,1.503890
0.020000,3.037520,2.701021,4.606495,1.173562,-1.984127,0.000000,1.508586
0.020000,3.038902,2.724054,4.629569,1.133879,-1.984127,0.000000,1.513070
0.020000,3.040140,2.746300,4.651850,1.094196,-1.984127,0.000000,1.517350
0.020000,3.041244,2.767759,4.673337,1.054514,-1.984127,-0.000000,1.521431
0.020000,3.042225,2.788429,4.694031,1.014831,-1.984127,0.000000,1.525319
0.020000,3.043093,2.808310,4.713931,0.975149,-1.984127,-0.000000,1.529019
0.020000,3.043857,2.827401,4.733037,0.935466,-1.984127,0.000000,1.532537
0.020000,3.044527,2.845701,4.751349,0.895784,-1.984127,0.000000,1.535876
0.020000,3.045111,2.863210,4.768868,0.856101,-1.984127,-0.000000,1.539042
0.020000,3.045617,2.879928,4.785593,0.816419,-1.984127,0.000000,1.542038
0.020000,3.046052,2.895853,4.801525,0.776736,-1.984127,0.000000,1.544869
0.020000,3.046425,2.910987,4.816663,0.737054,-1.984127,-0.000000,1.547537
0.020000,3.046740,2.925327,4.831007,0.697371,-1.984127,0.000000,1.550047
0.020000,3.047005,2.938876,4.844558,0.657689,-1.984127,0.000000,1.552402
0.020000,3.047226,2.951631,4.857315,0.618006,-1.984127,0.000000,1.554604
0.020000,3.047407,2.963593,4.869278,0.578323,-1.984127,0.000000,1.556657
0.020000,3.047555,2.974761,4.880447,0.538641,-1.984127,-0.000000,1.558562
0.020000,3.047672,2.985136,4.890823,0.498958,-1.984127,0.000000,1.560322
0.020000,3.047765,2.994718,4.900406,0.459276,-1.984127,0.000000,1.561940
0.020000,3.047836,3.003507,4.909194,0.419593,-1.984127,-0.000000,1.563417
0.020000,3.047890,3.011502,4.917190,0.379911,-1.984127,0.000000,1.564755
0.020000,3.047929,3.018703,4.924391,0.340228,-1.984127,0.000000,1.565956
0.020000,3.047957,3.025111,4.930799,0.300546,-1.984127,0.000000,1.567020
0.020000,3.047975,3.030725,4.936413,0.260863,-1.984127,-0.000000,1.567950
0.020000,3.047987,3.035546,4.941233,0.221181,-1.984127,0.000000,1.568747
0.020000,3.047994,3.039572,4.945260,0.181498,-1.984127,0.000000,1.569411
0.020000,3.047998,3.042805,4.948493,0.141816,-1.984127,-0.000000,1.569943
0.020000,3.047999,3.045244,4.950933,0.102133,-1.984127,0.000000,1.570344
0.020000,3.048000,3.046890,4.952578,0.062450,-1.984127,-0.000000,1.570614
0.020000,3.048000,3.047743,4.953431,0.022768,-1.984127,0.000000,1.570754
0.020000,3.048000,3.047985,4.953673,0.001463,-1.065229,45.944893,1.570794
0.020000,3.048000,3.048000,4.953688,0.000000,-0.073166,49.603175,1.570796
0.020000,3.048000,3.048000,4.953688,0.000000,0.000000,3.658282,1.570796
