dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.347423,0.411218,2.505035,2.843250,0.124535,-1.222981,0.702221
0.020000,2.390438,0.448470,2.561940,2.845223,0.098629,-1.295282,0.725240
0.020000,2.432605,0.486725,2.618873,2.846667,0.072240,-1.319487,0.748355
0.020000,2.473887,0.525957,2.675824,2.847557,0.044497,-1.387129,0.771530
0.020000,2.514254,0.566141,2.732782,2.847894,0.016832,-1.383265,0.794728
0.020000,2.553675,0.607247,2.789736,2.847668,-0.011299,-1.406526,0.817910
0.020000,2.592122,0.649243,2.846673,2.846885,-0.039166,-1.393365,0.841040
0.020000,2.629573,0.692095,2.903584,2.845547,-0.066883,-1.385829,0.864081
0.020000,2.666005,0.735768,2.960458,2.843682,-0.093250,-1.318382,0.886997
0.020000,2.701400,0.780224,3.017284,2.841280,-0.120095,-1.342258,0.909753
0.020000,2.735743,0.825425,3.074052,2.838408,-0.143603,-1.175381,0.932318
0.020000,2.769024,0.871331,3.130752,2.835036,-0.168597,-1.249679,0.954658
0.020000,2.801234,0.917903,3.187378,2.831258,-0.188886,-1.014492,0.976745
0.020000,2.832367,0.965101,3.243919,2.827054,-0.210201,-1.065732,0.998553
0.020000,2.862423,1.012884,3.300368,2.822488,-0.228320,-0.905953,1.020056
0.020000,2.891402,1.061214,3.356720,2.817601,-0.244344,-0.801213,1.041233
0.020000,2.919308,1.110052,3.412969,2.812417,-0.259203,-0.742955,1.062064
0.020000,2.946147,1.159360,3.469108,2.806959,-0.272897,-0.684676,1.082531
0.020000,2.971928,1.209101,3.525134,2.801298,-0.283074,-0.508845,1.102621
0.020000,2.996664,1.259241,3.581043,2.795458,-0.292004,-0.446485,1.122321
0.020000,3.020366,1.309745,3.636833,2.789473,-0.299241,-0.361875,1.141622
0.020000,3.043049,1.360581,3.692500,2.783359,-0.305692,-0.322543,1.160516
0.020000,3.064653,1.411530,3.747839,2.766971,-0.819395,-25.685133,1.178930
0.020000,3.085050,1.462165,3.802429,2.729476,-1.874729,-52.766729,1.196729
